dbGap Variable	dbGap Table	dbGap Description	UChicago Variable	UChicago Table	Type	Enumerations
minor11f1	pht001116.v10, pht001111.v4	Minor abnormality 11f per minnesota code: low qrs amplitude	minor11f1	electrocardiogram_test	enum	LOW QRS AMPLITUDE
minor11g1	pht001116.v10, pht001111.v4	Minor abnormality 11g per minnesota code: p-wave amplitude high	minor11g1	electrocardiogram_test	enum	P-WAVE AMPLITUDE HIGH
major11	pht001116.v10, pht001111.v4	Major abnormality 1 per minnesota code: complete/intermittent lbbb or complete/intermittent rbbb or nonspecific intraventricular block or complete/intermittent rbbb w/ left anterior hemiblock	major11	electrocardiogram_test	enum	COMPLETE/INTERMITTENT LBBB|COMPLETE/INTERMITTENT RBBB|NONSPECIFIC INTRAVENTRICULAR BLOCK|COMPLETE/INTERMITTENT RBBB W/ LEFT ANTERIOR HEMIBLOCK
major21	pht001116.v10, pht001111.v4	Major abnormality 2 per minnesota code: major q wave abnormalities [old myocardial infarction (mi)]	major21	electrocardiogram_test	enum	MAJOR Q WAVE ABNORMALITIES [OLD MYOCARDIAL INFARCTION (MI)]
major31	pht001116.v10, pht001111.v4	Major abnormality 3 per minnesota code: minor q,qs waves with st,t abnormalities (possible old mi)	major31	electrocardiogram_test	enum	MINOR Q,QS WAVES WITH ST,T ABNORMALITIES (POSSIBLE OLD MI)
major41	pht001116.v10, pht001111.v4	Major abnormality 4 per minnesota code: major isolated_st_t_abnormalities	major41	electrocardiogram_test	enum	MAJOR ISOLATED_ST_T_ABNORMALITIES
major51	pht001116.v10, pht001111.v4	Major abnormality 5 per minnesota code: left ventricular hypertrophy	major51	electrocardiogram_test	enum	LEFT VENTRICULAR HYPERTROPHY
major61	pht001116.v10, pht001111.v4	Major abnormality 6 per minnesota code: atrial fibrillation or flutter	major61	electrocardiogram_test	enum	ATRIAL FIBRILLATION OR FLUTTER
major7a1	pht001116.v10, pht001111.v4	Major abnormality 7a per minnesota code: mobitz type ii or partial (second degree) a-v block or wenckebach's phenomenon	major7a1	electrocardiogram_test	enum	MOBITZ TYPE II|PARTIAL (SECOND DEGREE) A-V BLOCK|WENCKEBACH'S PHENOMENON
major7b1	pht001116.v10, pht001111.v4	Major abnormality 7b per minnesota code: complete (third degree) a-v block	major7b1	electrocardiogram_test	enum	COMPLETE (THIRD DEGREE) A-V BLOCK
major7c1	pht001116.v10, pht001111.v4	Major abnormality 7c per minnesota code: a-v dissociation with ventricular pacemaker (without capture) or a-v dissociation with ventricular pacemaker (with capture)	major7c1	electrocardiogram_test	enum	A-V DISSOCIATION WITH VENTRICULAR PACEMAKER (WITHOUT CAPTURE)|A-V DISSOCIATION WITH VENTRICULAR PACEMAKER (WITH CAPTURE)
major7d1	pht001116.v10, pht001111.v4	Major abnormality 7d per minnesota code: wolff-parkinson-white pattern	major7d1	electrocardiogram_test	enum	WOLFF-PARKINSON-WHITE PATTERN
major81	pht001116.v10, pht001111.v4	Major abnormality 8 per minnesota code: major qt prolongation, qti >= 116%	major81	electrocardiogram_test	enum	MAJOR QT PROLONGATION, QTI >
major91	pht001116.v10, pht001111.v4	Major abnormality 9 per minnesota code: pacemaker	major91	electrocardiogram_test	enum	PACEMAKER
major10a1	pht001116.v10, pht001111.v4	Major abnormality 10a: ventricular fibrillation or ventricular asystole or persistent ventricular rhythm with no codable segment, regardless of rate or intermittent ventricular tachycardia or ventricular parasystole	major10a1	electrocardiogram_test	enum	VENTRICULAR FIBRILLATION OR VENTRICULAR ASYSTOLE|PERSISTENT VENTRICULAR RHYTHM WITH NO CODABLE SEGMENT, REGARDLESS OF RATE|INTERMITTENT VENTRICULAR TACHYCARDIA|VENTRICULAR PARASYSTOLE
major10b1	pht001116.v10, pht001111.v4	Major abnormality 10b: atrial flutter or intermittent atrial fibrillation	major10b1	electrocardiogram_test	enum	ATRIAL FLUTTER|INTERMITTENT ATRIAL FIBRILLATION
major10c1	pht001116.v10, pht001111.v4	Major abnormality 10c: supraventricular tachycardia intermittent	major10c1	electrocardiogram_test	enum	SUPRAVENTRICULAR TACHYCARDIA INTERMITTENT
jtdur1	pht001116.v10, pht001111.v4	Jt duration (qtdur1 - qrsdur1)	jtdur1	electrocardiogram_test	number	
jtindex1	pht001116.v10, pht001111.v4	Jt index ((jt/518) * (hrtrate1 + 100))	jtindex1	electrocardiogram_test	number	
qtindex1	pht001116.v10, pht001111.v4	Qt index (qtdur1 * (hrtrate1 + 100)/656)	qtindex1	electrocardiogram_test	number	
majabn1c	pht001116.v10, pht001111.v4	Any major ecg abnormalities	majabn1c	electrocardiogram_test	boolean	
minabn1c	pht001116.v10, pht001111.v4	Any minor ecg abnormalities	minabn1c	electrocardiogram_test	boolean	
pkyrs1c	pht001116.v10, pht001111.v4	Pack-years of cigarette smoking	pkyrs1c	exposure	number	
olvedm1t	pht001116.v10	Lv end-diastolic mass (g) using ssfg mri pulse sequence	olvedm1t	cardiac_mri	number	
olvedv1t	pht001116.v10	Lv end-diastolic volume (ml) using ssfg mri pulse sequence	olvedv1t	cardiac_mri	number	
olvesv1t	pht001116.v10	Lv end-systolic volume (ml) using ssfg mri pulse sequence	olvesv1t	cardiac_mri	number	
olvef1t	pht001116.v10	Lv ejection fraction (%) using ssfg mri pulse sequence	olvef1t	cardiac_mri	number	
olvsv1t	pht001116.v10	Lv stroke volume (ml) using ssfg mri pulse sequence	olvsv1t	cardiac_mri	number	
dpp4i1c	pht001116.v10	Dipeptidyl peptidase-4 inhibitor	dpp4i1c	cardiac_mri	number	
sari1c	pht001116.v10	Serotonin antagonist and reuptake inhibitor	sari1c	cardiac_mri	number	
ssri1c	pht001116.v10	Selective serotonin reuptake inhibitors	ssri1c	cardiac_mri	number	
apoeig1	pht001116.v10	Apolipoprotein e (apo e) isoform genotype	apoeig1	cardiac_mri	string	
apoea11	pht001116.v10	Apolipoprotein e: allele 1	apoea11	cardiac_mri	enum	E2: ALLELE DENOTES ISOFORM 112CYS/158CYS OF THE MATURE PROTEIN|E3: ALLELE DENOTES ISOFORM 112CYS/158ARG OF THE MATURE PROTEIN|E4: ALLELE DENOTES ISOFORM 112ARG/158ARG OF THE MATURE PROTEIN
apoea21	pht001116.v10	Apolipoprotein e: allele 2	apoea21	cardiac_mri	enum	E2: ALLELE DENOTES ISOFORM 112CYS/158CYS OF THE MATURE PROTEIN|E3: ALLELE DENOTES ISOFORM 112CYS/158ARG OF THE MATURE PROTEIN|E4: ALLELE DENOTES ISOFORM 112ARG/158ARG OF THE MATURE PROTEIN
olvedm1	pht001116.v10	Lv mass (g) using fgre mri pulse sequence	olvedm1	cardiac_mri	number	
olvedv1	pht001116.v10	Lv end-diastolic volume (ml) using fgre mri pulse sequence	olvedv1	cardiac_mri	number	
olvesv1	pht001116.v10	Lv end-systolic volume (ml) using fgre mri pulse sequence	olvesv1	cardiac_mri	number	
olvef1	pht001116.v10	Lv ejection fraction (%) using fgre mri pulse sequence	olvef1	cardiac_mri	number	
olvsv1	pht001116.v10	Lv stroke volume (ml) using fgre mri pulse sequence	olvsv1	cardiac_mri	number	
ppa_101	pht001116.v10	Pulse pressure amplification x10	ppa_101	cardiac_mri	number	
rm_101	pht001116.v10	Reflection magnitude x10	rm_101	cardiac_mri	number	
aix_ao_101	pht001116.v10	Aortic augmentation index x10	aix_ao_101	cardiac_mri	number	
mmflag1c	pht001116.v10	Any major or minor ecg abnormalities per minnesota code	mmflag1c	cardiac_mri	enum	NORMAL (NO MAJOR OR MINOR)|MINOR (MINOR WITH NO MAJOR)|MAJOR (MAJOR WITH POSSIBLE MINOR ABNORMALITIES)
ntca1c	pht001116.v10	Non-tricyclic antidepressants other than maoi	ntca1c	cardiac_mri	boolean	
mlvwall1c	pht001116.v10	Mean lv wall thickness, end-diastole (mm)	mlvwall1c	cardiac_mri	number	
ndri1c	pht001116.v10	Norepinephrine-dopamine reuptake inhibitor	ndri1c	cardiac_mri	number	
chdh	pht001123.v7	Coronary Heart Disease (CHD), Hard	chdh	medical_history	boolean	
chdhtt	pht001123.v7	Time to Hard CHD or Lat Follow-up in days	chdhtt	medical_history	integer	
chda	pht001123.v7	Coronary Heart Disease (CHD), All	chda	medical_history	boolean	
chdatt	pht001123.v7	Time to all CHD or Lat Follow-up in days	chdatt	medical_history	integer	
cvdh	pht001123.v7	Cardiovascular Disease (CHD), Hard	cvdh	medical_history	boolean	
cvdhtt	pht001123.v7	Time to Hard CVD or Lat Follow-up in days	cvdhtt	medical_history	integer	
cvda	pht001123.v7	Cardiovascular Disease (CHD), All	cvda	medical_history	boolean	
cvdatt	pht001123.v7	Time to all CDV or Lat Follow-up in days	cvdatt	medical_history	integer	
